"Время","Планшеты, Визиты","Планшеты, Доля","Десктоп, Визиты","Десктоп, Доля","Смартфоны, Визиты","Смартфоны, Доля"
"2019-12-09 - 2019-12-15","175688598","0.033250161976033955","2305274842","0.4362876291822653","2802878429","0.5304622088417007"
"2019-12-16 - 2019-12-22","169520119","0.032754265473347456","2270264928","0.4386550728326356","2735727716","0.5285906616940169"
"2019-12-23 - 2019-12-29","162475919","0.033265078555463","2119612904","0.4339664006377035","2602190008","0.5327685208068336"
"2019-12-30 - 2020-01-05","155219102","0.0392068769169033","1467334015","0.37063469238528735","2336423323","0.5901584306978094"
"2020-01-06 - 2020-01-12","175265310","0.03745676313681176","1840934838","0.3934347314780713","2662936417","0.5691085053851169"
"2020-01-13 - 2020-01-19","173722467","0.03312381636115121","2229886007","0.42517433627147805","2841030764","0.5417018473673708"
"2020-01-20 - 2020-01-26","180372784","0.03338821327199806","2299504184","0.425653662446347","2922412233","0.5409581242816549"
"2020-01-27 - 2020-02-02","177140409","0.033102133918249614","2280994031","0.4262481401456515","2893194554","0.540649725936099"
"2020-02-03 - 2020-02-09","175108224","0.033276990142090054","2251737782","0.4279128316336857","2835295289","0.5388101782242242"
"2020-02-10 - 2020-02-16","172013506","0.03346148936671868","2171028618","0.42232643648370816","2797598931","0.5442120741495732"
"2020-02-17 - 2020-02-23","166732638","0.03319611003023553","2108417229","0.4197813407326303","2747506036","0.5470225492371341"
"2020-02-24 - 2020-03-01","173495808","0.034125328167951656","2112894463","0.4155905423036099","2797687079","0.5502841295284384"
"2020-03-02 - 2020-03-08","161422068","0.03239829936974296","2102238539","0.42193086965738197","2718763506","0.545670830972875"
"2020-03-09 - 2020-03-15","175276871","0.03338112814874169","2172492962","0.41374692252899364","2903007499","0.5528719493222647"
"2020-03-16 - 2020-03-22","179356839","0.03246671803710259","2364422610","0.4280017568742956","2980549767","0.5395315250886018"
"2020-03-23 - 2020-03-29","191955688","0.033456305954276164","2422426287","0.4222090830127066","3123121988","0.5443346110330173"
"2020-03-30 - 2020-04-05","217161166","0.03649054712755617","2370592917","0.398341168227285","3363408152","0.5651682846451589"
"2020-04-06 - 2020-04-12","216574821","0.033851869104210015","2756749989","0.4308956108090719","3424396401","0.5352525200867181"
"2020-04-13 - 2020-04-19","217255257","0.033316369769098436","2850850969","0.4371816192222064","3452870054","0.5295020110086952"
"2020-04-20 - 2020-04-26","215563559","0.03324618198418767","2858399339","0.4408484673788288","3409896184","0.5259053506369835"
"2020-04-27 - 2020-05-03","197942676","0.03339714056988013","2585645969","0.4362534832591478","3143346195","0.530349376170972"
"2020-05-04 - 2020-05-10","183044064","0.03413083647860932","2286174798","0.4262856521370487","2893792505","0.539583511384342"
"2020-05-11 - 2020-05-17","190521377","0.031129581862099777","2784420703","0.45495079647972475","3145325704","0.5139196216581755"
"2020-05-18 - 2020-05-24","182119221","0.030851858996346113","2737582148","0.46375938770905634","2983321234","0.5053887532945975"
"2020-05-25 - 2020-05-31","171662955","0.03126657429128513","2507244140","0.4566677485523845","2811395533","0.5120656771563303"
"2020-06-01 - 2020-06-07","165545229","0.03130357563773178","2371735403","0.44848044869053133","2751100188","0.5202159756717369"
"2020-06-08 - 2020-06-14","157756315","0.03197828353822667","2112600583","0.4282385807895992","2662875832","0.5397831356721742"
"2020-06-15 - 2020-06-21","154092986","0.030869447861115996","2166964443","0.4341079865249725","2670706165","0.5350225656139116"
"2020-06-22 - 2020-06-28","150509323","0.03086101461835836","2073258979","0.42510905227154416","2653236711","0.5440299331100975"
"2020-06-29 - 2020-07-05","149248657","0.03055190877287527","2074472118","0.42465429287587725","2661363758","0.5447937983512475"
"2020-07-06 - 2020-07-12","143062487","0.029882847332115495","2046376358","0.42744645065596065","2598006120","0.5426707020119238"
"2020-07-13 - 2020-07-19","141673835","0.02975088864025927","2028596047","0.42599633934076225","2591733590","0.5442527720189785"
"2020-07-20 - 2020-07-26","141774253","0.029733471215937834","2005362340","0.4205727214370563","2621033661","0.5496938073470059"
"2020-07-27 - 2020-08-02","138913515","0.0293442206843233","1976704020","0.417560803860366","2618313432","0.5530949754553106"
"2020-08-03 - 2020-08-09","134995124","0.029018482779568956","1907085540","0.4099461318443987","2609958694","0.5610353853760324"
"2020-08-10 - 2020-08-16","140241797","0.029469338052026107","1932274676","0.40603341410701704","2686389097","0.5644972478409569"
"2020-08-17 - 2020-08-23","138191555","0.03052927133701802","1727344991","0.38160496799444765","2660989930","0.5878657606685344"
"2020-08-24 - 2020-08-30","141541775","0.031011900208666433","1762890179","0.3862504501585211","2659679695","0.5827376496328125"
"2020-08-31 - 2020-09-06","143490283","0.030920717140060908","1773327081","0.38213420394753056","2723769798","0.5869450789124085"
"2020-09-07 - 2020-09-13","148721036","0.03028775094216361","1903552862","0.38766765307833606","2857996141","0.5820445959795003"
"2020-09-14 - 2020-09-20","149767954","0.030288085596450322","1894979627","0.3832282114644198","2900033545","0.5864837029391299"
"2020-09-21 - 2020-09-27","149479434","0.03024103371764052","1897305727","0.3838420104191688","2896148847","0.5859169558631906"
"2020-09-28 - 2020-10-04","153757907","0.029972201763123138","2040389737","0.3977354665264125","2935869437","0.5722923317104643"
"2020-10-05 - 2020-10-11","156042744","0.030130859924007426","2050288396","0.3958976295859926","2972503596","0.57397151049"
"2020-10-12 - 2020-10-18","158978995","0.030104799497278862","2109722696","0.3995042159999728","3012150454","0.5703909845027483"
"2020-10-19 - 2020-10-25","162671754","0.0300685172456184","2202482885","0.40711059530840166","3044881136","0.5628208874459799"
"2020-10-26 - 2020-11-01","161494968","0.030326233345737797","2168304443","0.40717371765427407","2995456982","0.5625000489999881"
"2020-11-02 - 2020-11-08","167988215","0.03180902546169354","2052198577","0.3885893828221477","3060962585","0.5796015917161588"
"2020-11-09 - 2020-11-15","171934682","0.030129166315164917","2306997368","0.4042692642379141","3227654060","0.5656015694469211"
"2020-11-16 - 2020-11-22","169786887","0.029800585183121387","2337995289","0.4103592980509797","3189652487","0.559840116765899"
"2020-11-23 - 2020-11-29","170012854","0.029777306385567356","2307141481","0.4040897916729793","3232322936","0.5661329019414534"
"2020-11-30 - 2020-12-06","169166482","0.029527352079160563","2327743289","0.4062985458561833","3232235245","0.5641741020646561"
"2020-12-07 - 2020-12-13","169451540","0.029460222719192936","2330954990","0.4052512780575151","3251469198","0.5652884992232919"
"2020-12-14 - 2020-12-20","167430329","0.029087349256659213","2338518140","0.4062662618384575","3250173463","0.5646463889048833"
"2020-12-21 - 2020-12-27","163863896","0.029522304270062596","2190554620","0.3946581375791977","3196093209","0.5758195581507397"
"2020-12-28 - 2021-01-03","153735753","0.03338716796958803","1619552432","0.35172214678480673","2831347738","0.6148906852456052"
"2021-01-04 - 2021-01-10","175461772","0.036178075805941456","1559362732","0.321521562698318","3115123098","0.6423003614957407"
"2021-01-11 - 2021-01-17","174546644","0.030802162925102673","2123600525","0.3747507706815811","3368553719","0.5944470663933162"
"2021-01-18 - 2021-01-24","172170660","0.030030422579987618","2183177187","0.38079504076129256","3377860187","0.5891745366587198"
"2021-01-25 - 2021-01-31","168700704","0.029721414811636232","2118466535","0.37322797806051056","3388898489","0.5970506071278532"
"2021-02-01 - 2021-02-07","165190734","0.02942217246122617","2102181499","0.37442019361919504","3347125956","0.5961576339195788"
"2021-02-08 - 2021-02-14","161229913","0.029354633792946994","2025910058","0.3688512059796125","3305345956","0.6017941602274405"
"2021-02-15 - 2021-02-21","157129686","0.028482897248930338","2049137922","0.37144721896289307","3310365220","0.6000698837881766"
"2021-02-22 - 2021-02-28","162022801","0.03096193699672043","1791230024","0.34229720019296556","3279714383","0.626740862810314"
"2021-03-01 - 2021-03-07","152190974","0.02909138065988581","1870765547","0.35759776826959855","3208523407","0.6133108510705156"
"2021-03-08 - 2021-03-14","155754503","0.02961922178847499","1868843961","0.3553907123244527","3233963159","0.6149900658870723"
"2021-03-15 - 2021-03-21","157951401","0.02944847630407367","1957538602","0.36496370890250285","3248162750","0.6055878147934235"
"2021-03-22 - 2021-03-28","154818680","0.029384760164186136","1948912883","0.3699058643817888","3164941012","0.600709375454025"
"2021-03-29 - 2021-04-04","152267771","0.02849226553855029","1993363655","0.3729971628280758","3198547709","0.598510571633374"
"2021-04-05 - 2021-04-11","148546668","0.027951851426733884","1978878483","0.3723632316571148","3186951551","0.5996849169161512"
"2021-04-12 - 2021-04-18","142548888","0.02750463597632378","1911643266","0.3688492620715546","3128530065","0.6036461019521216"
"2021-04-19 - 2021-04-25","147366313","0.027628939813513897","1946544865","0.3649475231112658","3239855300","0.6074235370752202"
"2021-04-26 - 2021-05-02","135163575","0.02706717226275788","1806533469","0.36176723354543244","3051937817","0.6111655941918097"
"2021-05-03 - 2021-05-09","135610181","0.030250246868709633","1475944961","0.32923560093823645","2871389463","0.640514152193054"
"2021-05-10 - 2021-05-16","131698770","0.026897371471814147","1714540906","0.35016761092227955","3050103825","0.6229350176059063"
"2021-05-17 - 2021-05-23","126659245","0.02533112311133612","1804296738","0.36084900711085216","3069187297","0.6138198697778117"
"2021-05-24 - 2021-05-30","126369662","0.025766953511044948","1772243230","0.36136291096255474","3005717841","0.6128701355264002"
"2021-05-31 - 2021-06-06","122717215","0.025818566217373023","1724567233","0.36283298395846314","2905776352","0.6113484498241638"
